#Filename	Pool	Barcode	run_id	lane_id	Sample.name
SLX-17617.UDP0008.HJJV3DMXX.s_1	SLX-17617	UDP0008	HJJV3DMXX	s_1	PAR1006-T1-P01-17.3846-T1-FF1
SLX-17617.UDP0008.HJJV3DMXX.s_2	SLX-17617	UDP0008	HJJV3DMXX	s_2	PAR1006-T1-P01-17.3846-T1-FF1
SLX-17617.UDP0043.H3N53BBXY.s_8	SLX-17617	UDP0043	H3N53BBXY	s_8	PAR1006-T1-P01-17.40984-T1-FF1
SLX-17617.UDP0043.HJJV3DMXX.s_1	SLX-17617	UDP0043	HJJV3DMXX	s_1	PAR1006-T1-P01-17.40984-T1-FF1
SLX-17617.UDP0043.HJJV3DMXX.s_2	SLX-17617	UDP0043	HJJV3DMXX	s_2	PAR1006-T1-P01-17.40984-T1-FF1
SLX-17617.UDP0044.H3N53BBXY.s_8	SLX-17617	UDP0044	H3N53BBXY	s_8	PAR1006-T1-P01-17.40985-T1-FF1
SLX-17617.UDP0044.HJJV3DMXX.s_1	SLX-17617	UDP0044	HJJV3DMXX	s_1	PAR1006-T1-P01-17.40985-T1-FF1
SLX-17617.UDP0044.HJJV3DMXX.s_2	SLX-17617	UDP0044	HJJV3DMXX	s_2	PAR1006-T1-P01-17.40985-T1-FF1
SLX-17617.UDP0045.H3N53BBXY.s_8	SLX-17617	UDP0045	H3N53BBXY	s_8	PAR1006-T1-P01-17.40986-T1-FF1
SLX-17617.UDP0045.HJJV3DMXX.s_1	SLX-17617	UDP0045	HJJV3DMXX	s_1	PAR1006-T1-P01-17.40986-T1-FF1
SLX-17617.UDP0045.HJJV3DMXX.s_2	SLX-17617	UDP0045	HJJV3DMXX	s_2	PAR1006-T1-P01-17.40986-T1-FF1
