"Model";"Parameter";"Estimate";"Std. Error";"Pr(>|t|)";"CI_low";"CI_high";"pCR";"Drug"
"PAR1040";"GroupCTO";2,04522223256982;0,681556727862516;0,00871973115732316;0,628397102443576;3,24969235530284;"No";NA
"PAR1040";"GroupOlap+AZD1775";-1,76611910948345;0,521590204820593;0,00370680639770401;-2,69331202798018;-0,676151866948108;"No";NA
"PAR1040";"GroupOlaparib";0,723633829558022;0,595815928580102;0,24266131462532;-0,427098594136546;1,85557249595889;"No";NA
"PAR1040";"Time:GroupAZD1775";-0,023784105759576;0,00540264279836187;0,00051221046077711;-0,0343046785878406;-0,0126549713104051;"No";"AZD1775"
"PAR1040";"Time:GroupCT";-0,0206954908292278;0,00641346622752907;0,00399842569164482;-0,0339683469404392;-0,0090966096945297;"No";"CT"
"PAR1040";"Time:GroupCTO";-0,0269582250902823;0,00681157810320117;0,00116207552600005;-0,0418412620347209;-0,0125816268850212;"No";"CTO"
"PAR1040";"Time:GroupOlap+AZD1775";-0,0275246129548432;0,00510766867367716;0,0000720860697178312;-0,0385668179111312;-0,0180867931822169;"No";"Olap+AZD1775"
"PAR1040";"Time:GroupOlaparib";-0,0179009473444227;0,00590488208692764;0,00827341774281863;-0,0288125413974637;-0,00584071879454042;"No";"Olaparib"
"PAR1006";"(Intercept)";4,54819139848936;0,338155987620342;0,000000103815318757645;3,86882780886584;5,11442892752312;"Yes";NA
"PAR1006";"Time";0,0473118272956305;0,00440524752712676;0,0000006832485322001;0,0392773127222562;0,0558984653140176;"Yes";NA
"PAR1006";"GroupAZD1775";0,554177653977052;0,516755972749907;0,308795858482164;-0,424810009386879;1,55576729290453;"Yes";NA
"PAR1006";"GroupCTO";0,43839554189857;0,585416841096544;0,471295054295018;-0,531155122835843;1,49594153357402;"Yes";NA
"PAR1006";"GroupOlap+AZD1775";0,274650812827943;0,516570275389618;0,60660175722859;-0,745585937552922;1,33048708415037;"Yes";NA
"PAR1006";"GroupOlaparib";-0,169178353440582;0,516474378296815;0,75002829453168;-1,12024472943479;0,801741236171521;"Yes";NA
"PAR1006";"Time:GroupAZD1775";-0,00505904637691457;0,00680801100429565;0,473468107924977;-0,0176640833767523;0,00725534921190053;"Yes";"AZD1775"
"PAR1006";"Time:GroupCTO";-0,00954272432578878;0,00765621842809458;0,240390730542842;-0,0241889555227488;0,00488067467514073;"Yes";"CTO"
"PAR1006";"Time:GroupOlap+AZD1775";-0,00453040496110978;0,00675181966242366;0,516940293052705;-0,0174655173198749;0,00845549259373831;"Yes";"Olap+AZD1775"
"PAR1006";"Time:GroupOlaparib";-0,0129635132825618;0,00661703485869253;0,0798997900683501;-0,0251692641433965;-0,000570919558297455;"Yes";"Olaparib"
